,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,适宜人群,税费解析,装修描述,售房详情,户型介绍,交通出行,别墅类型,周边配套,权属抵押
10,['东升园公寓满五年商品房，诚意出售'],1160,110477,"['海淀', '五道口']",2室1厅1厨1卫,低楼层 (共12层),105㎡,平层,暂无数据,塔楼,东,钢混结构,精装,两梯十户,集中供暖,有,2022/11/30,商品房,2009/5/21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年 商品房，朝东向2居室， 无遮挡，业主诚意出售
                  ","
                    东升园小区是1997年华远地产开发的公房和商品房小区，总计12栋楼900户 ，物业管理费6层板楼区0.5元/㎡，高层区1.25元/㎡。车位管理费1800/年。小区内配套有公立明天集团第五幼儿园，清华园街道社区服务站 和 社区医院。
                  ","
                    东升园小区西北侧的清华科技园云集中关村智造大街、 GOOGLE中国总部、微软中国、SUN等高科技企业；清华、北大、北航、中科院研究所等，以及海淀医院、北医三院等，同时邻近中关村广场、卜蜂莲花、华联商厦等。
                  ","
                    东升园小区西侧的中关村东路与北三环、北四环路纵向连接，北侧成府路连接北大清华和朝阳奥森板块，开车出行便利。地铁13号线五道口站距离小区450米，（以上距离数据来源于高德地图测距）。
                  ",,,,,,,
11,['海洋局小区 央产大院 外挂电梯 新建 小区花园，地库'],930,155519,"['海淀', '白石桥']",2室1厅1厨1卫,中楼层 (共5层),59.8㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,有,2023/3/19,已购公房,2010/12/17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    央产大院 板楼有电梯 新建300个地库和小区花园，满五年唯一
                  ","
                    1.国家海洋局央产大院，2018年小区重新做的改造，厨房，卫生间的管道更换成PC管，外挂电梯，新建地库300个外加300平的大食堂，半个足球场大的花园，环境真的很nice
2.还有大福利，目前小区停车免费，物业免费，我有新建车库，花园的视频
                  ","
                    1.房子是正规的南北板楼，明厨明卫，户型很方正，业主一直自住，18年重新装修的，都是真材实料，放心使用，可以直接拎包
2.厨房，卫生间以及南北卧室的阳台都外扩了，共计有11平，单位统一的，业主也向单位统一交钱了
                  ","
                    1.房子是满五年唯一的公房，可以多贷款，只有契税，节省您的购房成本
                  ",,,,,,,
12,['韦伯豪家园一居室 诚意出售 看房方便'],740,119182,"['海淀', '魏公村']",1室1厅1厨1卫,中楼层 (共22层),62.09㎡,平层,暂无数据,塔楼,西,钢混结构,简装,三梯十二户,集中供暖,有,2023/5/3,商品房,2007/2/14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是满五年，业主唯一住宅，中高楼层，采光好
                  ","
                    韦伯豪小区是魏公村区域比较好的商品房小区，人车分流；小区一共六栋楼，两栋塔楼，四栋板楼，中间带一个大花园，环境很好，小区院里自带一个幼儿园，不出小区就能接孩子上下学
                  ","
                    小区被多所高校环抱，平时可利用高校设施来完善日程生活所需，小区南侧魏公街又叫民族餐饮街，汇聚各类连锁类餐饮美食，北门出去就是 supermarket，生活购物十分方便，南侧紫竹院公园，免费开放，4A级景区，配套成熟，适合居住。
                  ","
                    小区位于魏公村商圈，可以快速到达西三环，中关村南大街等快速路，距离魏公村公交车站300米，距离地铁4号线魏公村站700米（此数据来自百度地图）
                  ",,,,,,,
13,['新康园板楼 南北通透 三居两卫 中低楼层 诚心出售'],658,65847,"['海淀', '西三旗']",3室1厅1厨2卫,低楼层 (共6层),99.93㎡,平层,99㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023/6/11,商品房,2011/2/10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    新康园二期少见三居两卫的户型平均二年甚至三年出一套
                  ","
                    孟 新康园二期密度低只有180户左右，都是一体两户的板楼，有总高4层和总高5层的单元。二期比较适合居住环境也比较好
                  ","
                    凡 南北通透一梯两户和浪费面积户型方正格局合理采光通风效果良好适合居住密度低安静宜居
                  ","
                    荣 小区东边900米事刚开业的西三旗万象汇大型购物商场，小区西边300米就是物美超市和三旗百汇市场（日常百货、粮油米面、瓜果蔬菜、生鲜海货等等，日常生活很便利，消费成本低），北边200米是龙旗购物广场和永辉超市（保利影院，KFC，麦当劳等）
                  ","
                    东北门出是新康园北区北门公交站，公交主要开往上地、清河、西二旗、回龙观方向；南门出900米是8号线育新地铁站，西北方向1.2千米是13号线回龙观，东北门出1.1千米是13号线8号线中转霍营站和开往八达岭怀柔的S2号线；平时上下班外出便利
                  ",,,,,,
14,['韦伯豪家园新上满五年，业主唯一住宅，精装修，采光好'],820,110513,"['海淀', '魏公村']",2室1厅1厨1卫,低楼层 (共22层),74.2㎡,平层,暂无数据,塔楼,东,钢混结构,精装,三梯十二户,集中供暖,有,2023/3/24,商品房,2009/12/24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是满五年，业主唯一住宅，精装修，采光好
                  ","
                    韦伯豪小区是魏公村区域比较好的商品房小区，人车分流；小区一共六栋楼，两栋塔楼，四栋板楼，中间带一个大花园，环境很好，小区院里自带一个幼儿园，不出小区就能接孩子上下学
                  ","
                    小区被多所高校环抱，平时可利用高校设施来完善日程生活所需，小区南侧魏公街又叫民族餐饮街，汇聚各类连锁类餐饮美食，北门出去就是 supermarket，生活购物十分方便，南侧紫竹院公园，免费开放，4A级景区，配套成熟，适合居住。
                  ","
                    小区位于魏公村商圈，可以快速到达西三环，中关村南大街等快速路，距离魏公村公交车站300米，距离地铁4号线魏公村站700米（此数据来自百度地图）
                  ",,,,,,,
15,['裕隆新村 带电梯三居 可直达地库'],1188,92589,"['海淀', '马连洼']",3室2厅1厨2卫,低楼层 (共6层),128.31㎡,平层,110.18㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,2023/3/15,二类经济适用房,2017/10/26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    带电梯，南北通透三居，中间位置
                  ","
                    小区又名裕禧隆园，2009年建成，固定停车，地上和地下都有停车位，地上有自行车棚，小区内绿植大部分是梧桐树，出行生活配套齐全便利。
                  ","
                    业主卖房原因是换房，家里人口多，房子不够住了，诚意出售，看房方便。
                  ","
                    房子产权清晰，没有纠纷，没有抵押，出售意见统一，可以随时办理交易手续。
                  ",,,,,,,
16,['燕清源 近地铁 西南北两居 全明格局 满五唯一 随时看'],868,83278,"['海淀', '清河']",2室2厅1厨1卫,低楼层 (共28层),104.23㎡,平层,83.19㎡,板塔结合,西 南 北,钢混结构,精装,两梯三户,集中供暖,有,2022/12/30,商品房,2007/8/20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    近地铁 西南北两居 远离高速 全明格局 精装修 满五唯一 看房方便
                  ","
                    燕清源小区总共有9栋楼，总高28层，建成年代是2005年。楼栋外立面以黄、白、灰为主色调，多种户型设计，符合多样化人群。小区绿化面积大，内有花园、人工湖、游泳馆、健身房、活动室。小区西侧是占地25400平米的燕清体育文化公园，便于健身，生活惬意。
                  ","
                    房子满五唯一，诚意出售，价格可以商量。随时可以签约，看房提前联系。
                  ","
                    燕清源小区内有花园、人工湖、游泳馆、健身房、活动室；东侧有昌平线清河小营桥站，出行方便；西侧一路之隔是燕清体育文化公园，方便健身，运动。本房精装修，低楼层，进出方便，采光充足，无遮挡，适合一家人居住。
                  ","
                    小区东侧是昌平线清河小营桥站，还有京藏高速，西面有京新高速，北面有小营西路，南面有北五环，自驾、公共交通出行很方便。
                  ",,,,,,
17,['安宁庄 安宁佳园满五唯一正规两居 价格可聊'],758,97455,"['海淀', '安宁庄']",2室1厅1厨1卫,低楼层 (共18层),77.78㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,两梯七户,集中供暖,有,2023/2/23,商品房,2017/7/7,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一商品房，采光好，有电梯，户型方正，业主诚心出售，..
                  ","
                    社区是2007年的商品房，环境优雅，人文素质高，小区人车分流，年轻人居多，地上地下停车，小区是钢混结构，有电梯，电梯24小时运行。
                  ","
                    房子的产权性质是商品房，房本已经满五年了，是业主家庭名下的唯一住房。交易只有契税。如果您是首套置业，契税按成交价的1%征收。二套购房，契税按成交价的3%征收。
                  ","
                    房子产权清晰，无抵押，无查封等限制转让情形，业主换房，诚心出售。
                  ","
                    小区到13号线、昌平线的清河站距离1800米左右（数据来源于高德地图），小区西门旁边有公交安宁里站，有432、393、392、681、618等多条公交线路经过，可以到上地地铁站，圆明园等地。
                  ",,,,,,
18,['亮甲店小区 地铁五路居 一居室 满五年唯一'],442,88224,"['海淀', '定慧寺']",1室1厅1厨1卫,高楼层 (共7层),50.1㎡,平层,暂无数据,板楼,西,混合结构,简装,一梯四户,集中供暖,无,2022/12/26,商品房,2012/9/3,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    采光好，交通方便，近地铁，满五年唯一
                  ","
                    亮甲店小区（八里庄路61号院）位于海淀区西四环内，五路居地铁南侧，1998年左右建成，小区有8栋板楼组成，以公房为主（城建集团）。
                  ","
                    房子满五年唯一商品房，您这边购买只需要契税首套1%二套3%，购房成本低
                  ","
                    配套:家乐福，稻香村，味多美，亮甲店菜市场，邮局，医院，银行，幼儿园，早市等。生活便利。
                  ","
                    距离地铁6号线五路居站C口330米（来源于百度地图），距离定慧北桥公交车站150米（来源于百度地图）有多路公交车，交通方便
                  ",,,,,,
19,"['商品房满五年唯一,小区中间位置中间楼层,主卧大阳台']",518,85762,"['海淀', '五道口']",2室1厅1厨1卫,高楼层 (共6层),60.4㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023/3/11,商品房,2017/3/23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    次顶层采光好视野好,冬天供暖好,满五年唯一
                  ","
                    北京城建四公司福利分房社区,建筑年代1983-1993年,一共10栋楼其中2栋东西向8栋南北向,南院1-4号楼,北院5-10号楼,其中2.4.5号楼1983年建成,8.9号楼1985年建成,7号楼1986年6号楼1988年,1号楼1990年,3号楼和10号楼东西向1993年建成,北院有停车场和医院
                  ","
                    建成年代1986年,此楼总高6层砖混结构板楼，位于小区中间位置中间楼层，本房是南北向的正规两居室、主卧16平米左右朝南带阳台，次卧室朝北，布局合理、房子采光无遮挡。
                  ","
                    有华联商场,西郊宾馆,食尚苑美食街,和润生鲜市场,和睦家五道口门诊部,清华同方科技广场,优盛大厦,北医三院,西苑中医院,京张高铁纪念公园,王庄带状公园,清华同方科技大厦
                  ","
                    13号线五道口站,15号线清华东路西口站,专12\86\375\331\508\549\307\630\多条公交线路,八大院校.
                  ",,,,,,
20,['皂君庙西里 满五年唯一商品房 中间楼层'],580,107368,"['海淀', '皂君庙']",2室1厅1厨1卫,中楼层 (共6层),54.02㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,2023/4/16,商品房,2016/5/31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一商品房，双南户型带西窗，业主诚意出售
                  ","
                    皂君西里一共有10栋楼，管理好，安静不临街，是闹中取静的位置。只有这栋楼有坡顶，楼道天天有人打扫。生活成本低；小区内停车先到先停；小区外边可以板楼停车证。一年/3600元
                  ","
                    本房满五年唯一商品房，产权清晰，一个人的房本，已核实产权证；购房需要税费，契税首套1%、二套3%，没有其他多余税费成本
                  ","
                    交通比较方便，出小区就有各路公交车：19路，651路，16路，826路等等。北边1公里就是北三环路，西边最近的地铁是魏公村地铁站800米，东北是地铁13号线魏公村地铁站1公里。
                  ",,,,,,,
21,['晴波园 客厅卧室朝南 南北通透 临公园 昆玉河 近地铁'],2500,169780,"['海淀', '世纪城']",3室2厅1厨2卫,中楼层 (共13层),147.25㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023/3/17,商品房,2017/12/8,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    晴波园 客厅卧室朝南 南北通透 临公园 昆玉河 近地铁
                  ","
                    晴波园园区位于昆玉河西岸，有9栋南北板楼组成，总户数770户，24小时保安轮岗，每栋楼都配有楼长，从园区北门至10号线地铁火器营站约320米，从园区南门至世纪金源商场约390米（距离数据来源百度地图）
                  ","
                    房子适合改善的家庭，园区纯封闭式管理，人车分流，适合孩子在园区玩耍，正规四居室带老人或者保姆家里也住的开，南门出行方便近公园，老人健身锻炼方便，金源购物商场可以满足孩子上补习班的需求，出行南门就是河边蓝靛厂路方便快捷。
                  ","
                    2004年商品房社区，纯人车分流，正规眼睛户型四居室。双卧朝南落地窗，两卧朝北。东边是昆玉河，小区空气清新。餐厅客厅分离，各功能间分布合理，前后左右观景。
                  ",,,,,,,
22,['新康园一期板楼南北通透户型，不临街，靠谱出售楼层好'],585,68158,"['海淀', '西三旗']",2室1厅1厨1卫,中楼层 (共5层),85.83㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023/7/19,商品房,2015/7/7,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房室内90%墙体不承重 结构可塑，业主自住靠谱出售，看房方便
                  ","
                    新康园小区一共分三期，一期1.2.3号楼，都是板楼，1998年建成。 二期5.6号楼，也是板楼，1999年建成。 三期7~12号楼，都是高层带电梯塔楼，2003年建成。 小区景观设计好，一二期板楼物业费1.5元/㎡，三期塔楼物业费2.1元/㎡.出行便利。
                  ","
                    小区西边300米就是物美和三旗百汇市场（日常百货、粮油米面、瓜果蔬菜、生鲜海货等等，日常生活很便利，消费成本低），北边200米是龙旗购物广场和永辉（保利影院，KFC，麦当劳等）。小区里还有商店，饭店，家政等。（数据来源百度地图）
                  ","
                    小区出南门到8号线育新地铁站614米，交通便利，出小区北门朝东952米是地铁霍营站，是8号线和 13号线的换乘站，同时还有个S2线，通往怀来。（数据来源百度地图）
                  ","
                    1.房屋权属：无查封异议登记等限制转让情形，业主靠谱出售。 2.售房原因：变现诚心出售
                  ",,,,,,
23,['西直门 国务院宿舍大院 南北通透 全明格局 适合有老人'],650,112535,"['海淀', '小西天']",3室1厅1厨1卫,底层 (共6层),57.76㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023/6/11,已购公房,2011/9/26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子是满5年的公房，南北通透，全明格局，适合老人
                  ","
                    房子是1985年的砖混结构，国务院公房社区，洋房外观，窗户更换断桥铝，停车方便，南北通透全明格局两居室
                  ","
                    房子是满5年的央产房，央产房上市已办好，契税首套1%，二套3%，个税1%
                  ","
                    小区门口是枫蓝国际购物商场，永辉、顺天府、佳果多等菜市场，生活便利，人员素质高，刷卡入单元小区，24小时保安管理
                  ",,,,,,,
24,['永泰东里 南北通透 三居室 满五唯一 诚心出售'],755,78704,"['海淀', '清河']",3室1厅1厨1卫,高楼层 (共6层),95.93㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2022/7/29,二类经济适用房,2020/11/13,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    永泰东里 南北通透 三居室 满五唯一 诚心出售
                  ","
                    房子是一手业主，一直出租中，自己没住，之前老式装修，售房变现，诚心出售
                  ","
                    房子是满五年家庭唯一住房，首套房，交易有1.5%契税，3%土地出让金。二套有3%契税，3%土地出让金。没有别的多余税费，节省购房成本。
                  ","
                    房子产权清晰，一手业主，没有抵押，没有查封，业主家里人意见统一，同意售房，诚心出售。
                  ",,,,,,,
25,['志新北里满五唯一 二层精装南北三居'],678,104308,"['海淀', '二里庄']",3室1厅1厨1卫,低楼层 (共6层),65㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023/6/11,已购公房,2018/7/20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    志新北里 原值高相当于满五唯一 精装南北三居
                  ","
                    志新北里小区环境不错，小区内部有健身广场，乒乓球台，等便民娱乐设施。 小区以6层板楼为主，楼间距大，大部分为城建、中石化、中石油的单位分房，居民素质高。
                  ","
                    小区东小门北侧50米内有物美和药店，小区内有小广场可以娱乐，小区北门50米内有公交站志新站，东小门50米内有公交站志新北里站，距离三甲医院北医三院2000米左右！
                  ","
                    本房是商品房，房本满五年，原值416万，网签467万无个税，首套购房契税为计税价格的1个点，二套购房为计税价格的3个点。
                  ",,,,,,,
