,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,交通出行,售房详情,适宜人群,户型介绍,装修描述,权属抵押,税费解析,别墅类型,用水类型,用电类型,燃气价格
10,['李村商圈 满五唯一，近地铁 双幼儿园，中间楼层'],125,14510,"['李沧', '书院路']",2室2厅1厨1卫,中楼层 (共7层),86.15㎡,平层,74.84㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023/8/17,商品房,2008/9/4,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    李村商圈 满五唯一，近地铁 双幼儿园，中间楼层
                  ",,"
                    房子距离李村商圈200米（和谐广场 伟东乐客城 北方国贸 乐客城等大型商场）距离李村公园700米(数据来源于百度地图)生活便利 出行方便
                  ","
                    房子距离地铁口3号线君峰路站212米，小区门口就是公交京口路青峰路站（207）距离青峰路站50米（10路环行;230路;326路;327路;605路）（数据来源于百度地图）
                  ",,,,,,,,,,
11,['店长力荐，顶楼精装修，采光好，户型好'],70,7294,"['黄岛', '黄岛港']",3室1厅1厨1卫,高楼层 (共34层),95.98㎡,平层,70.7㎡,板楼,南 北,钢混结构,精装,三梯四户,集中供暖,有,2023/8/20,商品房,2017/5/17,普通住宅,满五年,共有,"
                                有抵押 25万元
                              ",已上传房本照片,"
                    店长力荐，顶楼精装修，采光好，户型好
                  ","
                    小区配套成熟，入住率高，绿化高达30% ，人车分流。小区有沿街底商，下楼就是原来的万达广场，已经开业两年，入住的有万达影院、麦当劳、全时健身等等满足您的日常生活需求。项目内万达广场商圈、飞翔的鸥海岸景观等购物和休闲配套共同打造丰富..
                  ","
                    项目内万达广场商圈、飞翔的鸥海岸景观组团等、购物和休闲共同打造丰富美好生活体系，建成后将成为一个集居住、购物、教育、医疗、休闲于一体的教育之城、大海之城，以美好精筑兑现一湾栖居理想
                  ","
                    小区交通出行方便，现在有16路 802路 55路公交车，可直达辛安、开发区、汽车站等。后期会有多条公交开通小区后期规划11条公交线路，目前开通的有四条，802路，东16路，55路，825路，825路可以直达1号地铁线的安子东站，1号线已经开通。
                  ","
                    房屋现状；看房方便，业主随时可以签约 售房原因；工作地点不合适，住不到，卖掉改善
                  ","
                    首付不高，适合刚需婚房的客户群体。套三户型，改善置换的客群也能接受。
                  ",,,,,,,,
12,['龙湖滟澜海岸 叠拼 精装修 院子 车位 保养的好'],380,13334,"['城阳', '女姑']",4室2厅1厨3卫,低楼层 (共4层),285㎡,复式,暂无数据,暂无数据,南,钢混结构,其他,一梯两户,暂无数据,暂无数据,2023/8/4,商品房,2016/7/12,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    龙湖滟澜海岸 叠拼 精装修 院子 车位 保养的好
                  ","
                    别墅式小区，绿化高，很安静，从西门出去，西面就是滨海公园，周末可以带孩子和老人去海边走一走，增进和孩子的感情，此小区是青特开发商2014年建成 物业是青特自己的物业 24小时安保人员定时巡逻 冬季集中供暖 地暖
                  ",,"
                    火炬路 环湾路 双元路 等交通要道纵横交错 公交车761路765路766路908路937路941路等多路公交车 直达市政府 四方 汽车北站 铁路北站
                  ",,,"
                    户型方正不繁杂，该有的空间都有。一楼南向老人房，书房，开放式厨房，二楼儿童房和宽大主卧（整个一层及书房衣帽间浴室于一体的奢华空间）三层健身房，酒柜，还有家庭影院，整个休闲娱乐区
                  ",,,,,,,
13,['低楼层 户型通透，户型方正 适合老年人居住'],31.9,4245,"['胶州', '李哥庄']",2室1厅1厨1卫,低楼层 (共6层),75.16㎡,平层,暂无数据,板楼,东,钢混结构,毛坯,一梯两户,集中供暖,暂无数据,2023/8/8,商品房,2019/3/25,普通住宅,满两年,非共有,"
                                有抵押 5万元 建行 业主自还
                              ",已上传房本照片,"
                    此房户型通透 格局视野开阔 设施配套齐全 交通便利
                  ",,"
                    小区分四区 小区体量大 人口多 ab区之间是一条步行街 有成熟的生活配套商铺以及星贝儿幼儿园 远离喧嚣独享意境 更懂不屈 凡尘之心集万千宠爱人与自然和谐相处 流金岁月只为给更懂的你 与树柏为邻 倾听灵魂的声音从此让你的灵魂更加通透
                  ",,,"
                    顺盛水岸绿城 是李哥庄顺盛置业开发 属于李哥庄中端楼盘 老人养老较多 有一条自己的步行街 下午有新鲜市集
                  ","
                    经典的通透户型 优点在于采光和通风好 楼层低布局合理 楼龄新
                  ",,,,,,,
14,['满五唯一 双卫全明户型 双南卧室 高楼层采光好'],238,18314,"['黄岛', '江山南路']",3室1厅1厨2卫,高楼层 (共26层),129.96㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯三户,集中供暖,有,2023/8/10,商品房,2017/8/10,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    满五唯一  双卫全明户型 双南卧室 高楼层采光好
                  ","
                    房子是本地开发商建国集团建设的，物业是开发商自持的熙和阳光物业，管家式服务，物业费2.1元（含电梯费）。小区完全人车分流，园林规划好，绿化高，小区内有两个儿童娱乐场所，凉亭，棋牌室，小区的地面基本是铺的防滑大理石，很上档次，有保证了地面清洁。
                  ","
                    江山丽城小区位于江山南路与榕江路交汇处，小区外围有开发商自持的网点，设有停车场停车方便。东侧江山路是开发区南北主干道，6号线设有站口，出行方便。南侧有吾悦广场、永旺梦乐城大型商场，薛辛庄大集等等，购物方便。北侧是开发区一中，文化氛围好。
                  ","
                    20路、22路、28路、51路、308 K3路等公交车经过，距离峨眉山路地铁1公里路程（数据来源于百度地图）
                  ",,,,,,,,,,
15,['此房是2021年建成，属于香江路较新的小区 套三户型'],230,24178,"['黄岛', '香江路']",3室2厅1厨2卫,低楼层 (共32层),95.13㎡,平层,暂无数据,板塔结合,南 北,未知结构,精装,两梯四户,集中供暖,有,2023/8/10,商品房,2021/7/9,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    此房是2021年建成，属于香江路较新的小区 套三户型
                  ","
                    奥园翰林名苑位于青岛市黄岛香江路与五台山路交叉口位置，由奥园地产建成，小区物业公司为青岛奥园物业管理有限公司,远基物业。小区共六栋楼，物业费是3.0元/平/月。 一共三个门 两个地下车库入口 西门和北门 东门为人行通道。
                  ","
                    商场：有长江利群商厦，维客运海城，长江购物广场，，地铁嘉陵江东路站，医院：有青大医附院，开发区人民医院
                  ","
                    公交车站有中达化纤，有东1，东2，东3，东7，东9路，开发区15路，30路，51路，52路，53路公交车，出行方便！！！
                  ",,,"
                    房子属于中间户的套三，两个南向的卧室，一个北向的卧室，卫生间带窗户。南向的客厅，客厅外边有个阳台。厨房在北侧，属于通透户型。
                  ",,,,,,,
16,['套二，南北通透，带草房，自住。'],59,6757,"['黄岛', '海西路']",2室2厅1厨1卫,中楼层 (共6层),87.32㎡,平层,75.65㎡,板楼,北 南,钢混结构,精装,一梯两户,集中供暖,暂无数据,2023/8/8,经济适用房,2010/12/28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透，房子是多层中间层，采光好，带草房
                  ","
                    多层，得房率高，小区物业费低，停车免费。安静，适合年轻人首套房
                  ",,"
                    交通方便：公交有501，西7，502，503，距离西站也比较近，配套齐全，适合居住
                  ",,,"
                    井花园小区楼间距大，物业费便宜，户型南北通透，方方正正。客厅采光面大
                  ",,,,,,,
17,['新上和达璟城翡翠 套三双厅 精装修 拎包入住'],199,22347,"['李沧', '世园会']",3室2厅1厨1卫,中楼层 (共21层),89.05㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023/8/11,商品房,2018/9/6,普通住宅,满两年,非共有,"
                                有抵押 43万元 兴业银行 业主自还
                              ",已上传房本照片,"
                    此房 结婚装修少住，中高楼层 浅色调装修 视野开阔
                  ","
                    和达璟城是和达集团建成的，2017年交的和达璟城翡翠小区属于人车分流小区 小区一共7栋楼每个单元都有门禁卡 小区绿化高，物业是和达自己的物业每个楼栋都有专门的管家
                  ",,"
                    小区北侧是世园大道643公交总站 东侧是2号线地铁延长线，靠 近 三清洞 竹子庵
                  ",,"
                    业 主 婚 房 装 修 适合 年 轻 人当 婚房，拎包入住 ！
                  ","
                    本小区2017年 次新小区 一南双北卧室 南客厅 采光好 视野开阔 ：
房子全明的户型 客厅是南向的 主卧就在客厅的左边 双2南卧 北向有窗户 卧室C北向都有窗户 卫生间也有窗户
                  ",,,,,,,
18,['新都心次新小区 精装未住 双卫 中楼层 视野及采光好'],350,27785,"['市北', '河西']",3室2厅1厨2卫,中楼层 (共29层),125.97㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023/8/10,商品房,2020/5/18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透，精装未住，楼层好，视野棒，新都心位置，诚心卖
                  ","
                    小区是海尔地产开发，海尔自己的物业，2017年交付的小区，是新都心很新的一个小区了，完全的人车分流，小区一共有15栋楼，楼间距都在40米以上，绿化在50%，小区里面有篮球场，网球场，足球场，还有孩子的游乐设施，以及老人的健身器材。
                  ","
                    小区位于市北新都心商圈，从地图来看也是市区的中间位置，去往市南、市北、崂山、李沧都很方便；近黑龙江路、福州北路、重庆南路、合肥路，地铁3号线长沙路地铁口就在小区东侧；购物有凯德、保利广场、麦德龙、佳世客；医疗有妇女儿童医院、齐鲁医院等。
                  ","
                    小区位于市北新都心商圈，从地图来看是市区的中间位置，去往市南、市北、崂山、李沧都很方便；地铁3号线双山地铁口，小区门口有公交车站牌；
                  ",,,"
                    双南一北卧，南向客厅，北向厨房，客厅卧室都很通透的，双卫全明户型，户型方方正正，没有浪费面积
                  ",,"
                    房子没有贷款没有抵押，没有户口，产权很清晰，看好随时可以签约，随时可以看房
                  ",,,,,
19,['百合花园 全明户型 花园洋房 阁楼为打通 视野好'],140,21784,"['李沧', '绿城']",2室1厅1厨1卫,中楼层 (共5层),64.27㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023/8/14,商品房,2018/5/28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    百合花园 全明户型 花园洋房 视野好
                  ","
                    绿城百合花园，共96栋楼，多层、电梯洋房错落有致。绿城地中海风格的外观建筑，如同置身于花园一样，正所谓她的名字一样，百合花园。春有桂花飘香，夏有桃李满挂，秋有落叶芬芳，冬有白雪浪漫。最重要的是还有你我的缘分以及无时不刻的思念。
                  ","
                    小区东侧是李沧丽达购物广场，西南侧是李沧万达广场，西侧有金水路维客广场，满足您的逛商场的需要。楼下网点有黄焖鸡米饭，小笼包，便利店，康万家社区医院、兰州拉面，水果店。 足不出户，小区门口都有了
                  ","
                    ：
开车出门是东西大通道金水路，广水路，九水路，以及青银高速李村站。南北大通道宜川路、铜川路、巨峰路（深圳路），黑龙江中路。 2、公交有408、633、390、643、640、387、130等通往市内各区，无限换乘地铁2号线、3号线、11号线
                  ",,,"
                    房子是多层洋房  南北 通透的好户型，得房高，阁楼未打通 可以自由设计装修 ,楼层好采光好。
                  ",,,,,,,
20,['小层高，套三双卫，元宝户型 大阳台，开发商精装。'],289,23656,"['黄岛', '香江路']",3室1厅1厨2卫,低楼层 (共18层),122.17㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2023/8/11,商品房,2019/7/11,普通住宅,满两年,非共有,"
                                有抵押 150万元 交通银行 金融公司垫资
                              ",已上传房本照片,"
                    小层高，套三双卫，元宝户型 大阳台，开发商精装。
                  ","
                    小区位于黄岛香江路南、江山路东，开发商是青岛银盛泰荣泰不动产有限公司，物业是自己的物业，物业费：2.30元/㎡·月
                  ","
                    商场有长江利群商厦，维客运海城，长江购物广场，医院有青大医附院，配套完善
                  ","
                    公交车站有武家庄站，有东1，东2，东3，东7，东9路，开发区15路，30路，51路，52路，53路公交车，出行方便
                  ",,,,,,,,,,
21,['正商蓝海港湾 2室2厅 南'],90,10828,"['城阳', '女姑']",2室2厅1厨1卫,中楼层 (共17层),83.12㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,集中供暖,暂无数据,2023/8/15,限价商品房,2016/8/1,普通住宅,满五年,非共有,"
                                有抵押 22万元 建设 客户偿还
                              ",已上传房本照片,,,,,,,,,,,,,,
22,['小区内部位置次顶楼采光好南北都无遮挡南北通透'],133,15017,"['城阳', '东方城东']",2室1厅1厨1卫,高楼层 (共11层),88.57㎡,平层,69.48㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2023/8/16,商品房,2017/1/19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    鑫江水青花园套二的房子 ，高楼层， 采光好，精装修。
                  ","
                    鑫江水青花园属于鑫江集团，集团实力雄厚，水青花园小区绿化高，环境好，小区物业认真负责，全封闭小区，安全性高，配有24小时巡逻保安，小区内有电动车充电棚，楼道电梯自动识别电动车，安全系数再次升级
                  ","
                    此小区配套齐全。有华安路农贸市场·小区内外有多家幼儿园·新开城阳十七中距离小区一公里左右。医疗有马家台社区诊所距离城阳第三人民医院六公里左右。距离大型购物休闲商场东方城仅两公里.项目配套东方城购物商场 鑫江温德姆酒店 国际工艺品城
                  ","
                    黑龙江路和王沙路，都是南北主路，距离青银高速入口2公里（高德地图)，小区门口就是公交车站，交通方便，根据政府地铁规划黑龙江路有地铁15号线公示
                  ",,,,,,,,,,
23,['电梯洋房 大元宝户 全明通透采光视野好 海都汇府必看'],245,19228,"['城阳', '白云山']",3室2厅1厨2卫,中楼层 (共6层),127.42㎡,平层,107.48㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,暂无数据,2023/8/9,商品房,2017/12/26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    元宝全明户型洋房，看房方便，双阳台采光好，诚心出售
                  ","
                    小区绿化面积很大，绿化高，植被种类多，适宜老人小孩居住。小区安保很好，居住放心。
                  ","
                    国学公园 海都广场 后田大酒店 莲池妇幼保健院 韩国领事馆 购物：有小型、利群、家佳源商圈 银行：建行ATM机、邮政、农商银行
                  ","
                    门口就有公交909、914经过，到家佳源，利群只要5站，生活很便利； 642路到即墨
                  ","
                    业主自住保持的很好，现事业方向规划所以忍痛割爱，诚心出售看房方便，价格可以商议。
                  ",,"
                    元宝户型电梯洋房，卫生间都有窗户，采光视野好。两个南卧中间南厅，北厨房，这个户型居住舒适度高。
                  ",,,,,,,
24,['龙湖 套四 精装修 通透 带车位 有钥匙看房方便'],119,9497,"['城阳', '女姑']",4室2厅1厨2卫,中楼层 (共14层),125.31㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,两梯二十二户,集中供暖,有,2023/8/7,商品房,2017/5/18,普通住宅,满五年,共有,"
                                有抵押 80万元
                              ",已上传房本照片,"
                    龙湖 套四 精装修 通透 带车位 有钥匙看房方便
                  ","
                    此小区为龙湖开发商建筑为2014年，小区保安24小时巡逻，进入门卡，私密性高，素质住户，小区环境优美，绿化好
                  ","
                    小区南向是街道社区医院，北向是龙湖自己的商街和商场，东向是正在建设的北大医疗产业园，西向是怡海路教育机构。交通配套齐全，出行很方便
                  ","
                    位于青岛交通枢纽位置双元路，环胶州湾高速双埠路口，经青银高速，308国道，火炬路，重庆路可到达。公交车次761，766，765，937，941，908可到达市区，高新区，流亭机场，汽车北站交通方便
                  ",,"
                    孕婴老幼：本房是业主精装修房源，适合居家，小区人文环境好 首付不高：贷款方式不限制，适合首付不多的小两口 家有老人：楼层合适，配套齐全，有菜市场，公园，不临街
                  ",,,,,,,,
25,['保利新上楼网小元宝三居位置好全天采光业主置换诚意卖'],189,21198,"['李沧', '下王埠']",3室1厅1厨1卫,低楼层 (共28层),89.16㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023/8/8,商品房,2021/4/23,普通住宅,满两年,非共有,"
                                有抵押 102万元
                              ",已上传房本照片,"
                    房子位置好，不靠马路，前面是保利小公园，景观很不错，价格可谈
                  ","
                    保利地产-央企品质开发，北区二期是保利醉后一期开发的，2019年交付的次新小区，小区人车分流，有地下两层车库，车位很充足，停车方便。 保利自己的物业管理，物业费2.2元/每平（包含电梯费用）
                  ","
                    小区距离李村公园西门800米，公园河道和公园环境优美，健身散步的好去处。距离M3号线-君峰路地铁口1000米，还有生活广场、农贸市场、车站等等，生活出行都很方便。还可以一站式到达李村银座、乐客城、维客、北方国贸、利客来等等大型购物商贸等等
                  ",,"
                    房子是业主2017年一首买入的，打算结婚用的，当时也是本着保利-央企、品质买的。房子是精装修交付的，交房后业主又自己精心定制了一些柜子，一直业主自住，房子保护的都很不错，最主要的是业主很诚心卖房，价格可以好商量的。
                  ",,,,,,,,,
26,['万科未来城三期沁园 全明套三  中间位置  升级精装'],236,24396,"['市北', '万科广场']",3室2厅1厨1卫,中楼层 (共21层),96.74㎡,平层,75.55㎡,板楼,南 北,钢混结构,精装,三梯四户,集中供暖,有,2023/8/9,商品房,2020/9/26,普通住宅,满两年,非共有,"
                                有抵押 65万元 银行 业主自还
                              ",已上传房本照片,"
                    套三全明户型，南北通透。不靠铁路，升级精装。
                  ","
                    未来城三期为万科开发。大型社区，小区人车分流，万科物业，物业费2.9。每栋楼都有物业管家为您服务。小区内有儿童乐园，健身器材。休憩凉亭等等。
                  ","
                    小区自带商铺配套齐全，便利店众多。未来公园，三甲医院，地铁1号线，万科广场，幼儿园到初中，均在步行范围内。
                  ","
                    出行便利，四通八达。地铁1号线，可换乘到达青岛其他地铁站。公交出行，南至市南，东至崂山，北至李沧、城阳。开车走跨海大桥、环湾路等很方便。去铁路北站，乘坐高铁都方便。
                  ",,,"
                    2020年5月底竣工。双南卧，一北卧，南厅，明厨，明卫。套三全明户型。
                  ",,,,,,,
27,['莱芜一路范围 伏龙路 套二 双南向 1楼总价低 有钥匙'],105,23370,"['市南', '大学路']",2室0厅1厨1卫,低楼层 (共6层),44.93㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯四户,集中供暖,无,2023/8/16,商品房,2021/5/15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    莱芜一路范围 伏龙路 单价低 总价低 能贷款 临伏龙山 环境好
                  ",,,,"
                    此房 有抵押 无查封 产权清晰 好贷款  85年建 有钥匙随时看房 随时签合同
                  ","
                    伏龙路 套二 双楠 1楼 85年建 能贷款 莱芜一路范围 临伏龙山 环境好适合小年轻 的 总价低 单价低 好贷款
                  ","
                    此房是 套二 双南向 实际面积大 利用率高 简装 需要重新装修 近小 学
                  ",,,,,,,
28,['佳源都市南区 3室1厅 南'],120,11765,"['即墨', '即墨城西']",3室1厅1厨1卫,低楼层 (共22层),102㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯两户,集中供暖,有,2023/8/9,商品房,2021/8/10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
