,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,['清华大学33区西王庄  中间楼层  南北通透两居室 诚售'],599,103994,"['海淀', '五道口']",2室1厅1厨1卫,中楼层 (共6层),57.6㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023-08-09,央产房,2000-12-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一 南北通透 楼层好 视野开阔 采光充足 全明格局
                  ","
                    西王庄小区人文环境好，小区1-10号楼是清华大学的教职工楼，其他单位有中石油，国土资源局，国家自然基金委员会，兵器部，机械部等。目前转商品大部分客户是高教职工，素质高，邻里关系融洽。
                  ","
                    业主诚意出售，目前计划到孩子小区住，所以割爱出售，房屋产权清晰，个人产权，可随时交易，
                  ","
                    南北通透的2居室，一梯三户，87年楼龄，建筑结构为混合结构，都是6层的板楼，不带电梯；墙体厚，建筑质量好，隔音好；前后两边的楼也是6层板楼，楼间距适中，视野无遮挡，采光充足。小区门口配有保安室，24小时值班；单元门配有智能门禁系统，安全系数高。
                  ","
                    满五年，家庭唯一住房。房本面积57.6平米。交易相关税费如下：1，契税：首套契税征收标准为网签价的1%，二套契税征收标准为网签价的3%；土地出让金15.6️57.6，房本工本费80元。
                  ","
                    西王庄小区临清华大学东南门，东南角是地铁13号线的五道口站，东北角是15号线的清华东路西口站，南边是公交站五道口站，西边是公交站清华东路西口站，交通方便
                  ",,
11,['翠微路16号院 船舶大院 洋房三居 满五唯一 诚心出售'],1120,133812,"['海淀', '公主坟']",3室1厅1厨1卫,中楼层 (共5层),83.7㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023-08-06,商品房,2015-01-22,普通住宅,满五年,共有,"
                                有抵押 186万元 农业银行 客户偿还
                              ",已上传房本照片,"
                    不临街 板楼低楼层 南北向 采光充足 精装修 诚心卖。
                  ","
                    2021年刚做完改造，新建300个升降式立体停车楼，停车方便。改造包括：上下水管道，外保温，路面等都改完了。目前是北控物业，物业管理也比较好。小区很安静，居住人群素质也比较高，多数是原来单位的，新搬进的也都是比较看重孩子学习和未来发展.
                  ","
                    南北双线通透3居室，进门客厅有15平米，客厅方正宽敞，足够一家四口享受快乐时光。另外两个卧室朝南，老人也可以有自己南向房间。厨房和卫生间都有窗户，而且是朝北向的，南北窗户，形成对流，使得屋内空气流通，清晨可以呼吸新鲜空气。
                  ","
                    商超有翠微百货、城乡购物、凯德晶品、印象城，休闲购物方便；公园有玉渊潭公园、儿童科技公园，翠微烟雨公园、小天鹅公园等，散步休闲方便；医疗配套有301、304、空总、海总四家三甲医院、水利医院、万寿路社区医院，出门就医、体检方便。
                  ","
                    房子是满五年在京一套住宅，契税首套1%/二套3%；个税，增值税是免征的。税费少，降低了您的购房成本。如感兴趣，可随时联系咨询。
                  ","
                    房子的装修是自己亲历亲为的，当时使用的都是环保材料，本着自己一直居住的水准装修设计的，房子空间利用合理，没有浪费空间。
                  ",,
12,['玉渊潭南路9号院 满五唯一 带电梯 业主随时签约'],1860,179607,"['海淀', '军博']",3室1厅1厨1卫,高楼层 (共9层),103.56㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯三户,集中供暖,有,2023-08-13,央产房,2006-06-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子满五年，南北通透，无遮挡，带电梯。
                  ","
                    玉渊潭南路9号院，地图上搜晾果厂小区，是财政部和国税总局家属楼，2000年入住，小区属于花园洋房，小区的西侧是世纪坛公园，小区北门有自己小区单独的后花园，小区北侧是昆玉河和玉渊潭公园。
                  ","
                    小区为花园式环境，环境优美，小区南门有玉渊潭生活超市和玉渊潭蔬菜水果市场，小区北侧有自己的公园，需要小区业主门禁进入，适合有老人和孩子的家庭，三代同堂，小区南侧是长安街，医疗有：世纪坛医院和复兴医院，商场：长安商场，印象城。
                  ","
                    满五年唯一央产，首套契税网签价格1.5%，二套网签价格3%，税费成本比较低
                  ","
                    小区南侧是长安街，出行可乘坐地铁1号线和9号线，东侧是地铁16号线
                  ",,,
13,['双紫小区 正规三居室 大客厅 大阳台 精装修 钥匙房'],1030,98877,"['海淀', '紫竹桥']",3室1厅1厨1卫,低楼层 (共18层),104.17㎡,平层,暂无数据,塔楼,东 南 北,钢混结构,精装,两梯九户,集中供暖,有,2023-08-04,央产房,2000-05-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    小区有花园 本房公房性质，一手业主，产权清晰，精装修，随时看
                  ","
                    本房适合一家三代人居住，也适合改善客户群里，房子是空置装修，自己装修过，所用材料都是好的，环保，可拎包入住。
                  ","
                    本房是正规三室一厅一厨一卫户型，进门厨房带着阳台，客厅可以放置沙发电视，看电视距离刚刚好，北卧室朝北，客厅带着大长阳台，可带孩子的可以在阳台玩耍，可以堆放孩子的玩具，很好用。卫生间带着窗子，明卫。主次卧都是东南，明厨明卫明厅。随时看。
                  ","
                    有幸得到业主委托，成为本房房源角色人，房源跟进消息有我跟进，房子产权清晰，家人都同意售房，有钥匙，随时看本房！
                  ","
                    出小区，公交车一站地就是紫竹院公园，早上或晚上晚饭后，过一天桥，就可以到紫竹公园遛弯。另有466医院，苏宁易购，海底捞，物美超市。银行：建设银行，中国银行，农业银行，邮政储蓄银行，工商银行等等，满足您生活和娱乐的各种所需。
                  ",,,
14,['三虎桥南路 国开行家属院 大客厅两居室'],898,90616,"['海淀', '紫竹桥']",2室1厅1厨1卫,低楼层 (共6层),99.1㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,2023-08-09,商品房,2017-01-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房东西通透，楼层好，小区楼龄新，看房随时
                  ","
                    此房是东西向的两居室，客厅，主卧和厨房朝西，西侧有一个大阳台，次卧室朝东，卫生间是干湿分离；户型方证，布局合理，利用率比较高。
                  ","
                    小区于紫竹公园相望，过一天桥，就可以到紫竹公园遛弯。医院有466医院，永辉超市。银行：建设银行，中国银行，农业银行，邮政储蓄银行，工商银行等等，满足您生活和娱乐的各种所需。
                  ","
                    此房位于紫竹桥东南角，交通便利，出门就是公交站。地铁有花园桥地铁口（6号线），白石桥南地铁口（9号线），国家图书管（4号线），万寿寺地铁口（16号线）
                  ",,,,
15,['都景苑 2室1厅 西南'],1017,90040,"['海淀', '牡丹园']",2室1厅1厨1卫,低楼层 (共24层),112.95㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,2023-08-19,商品房,2019-10-29,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,
16,['低楼层 南北一居 采光好 户型方正 看房有钥匙'],520,105051,"['海淀', '公主坟']",1室1厅1厨1卫,底层 (共6层),49.5㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023-08-17,商品房,2000-06-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年不一套央产房 南北向采光好 户型方正临地铁
                  ","
                    居住人群大部分为中房,财政部，建行，量具厂，老干部福利分房组成，居住人文素质较高，小区内两个小公园，干净整齐，公房社区。
                  ","
                    南北通透大一居，进门是客厅，厨房朝北带阳台，（不临街）卧室朝南带阳台，没有任何视野上的遮挡。视野开阔。
                  ","
                    本房商圈配套齐全，位处于公主坟心腹，商场：印象城，凯德精品，翠微大厦，翠微百货，城乡贸易大厦，国美电器，京东电器，大型菜市：北京华联，玉渊潭大市场，水果商摊琳琅满目，各银行出小区便是，特色餐饮：基辅餐厅，翠清酒家，海底捞，聚宝源
                  ",,,,
17,['2008年建，格局方正，电梯直达，配套齐全，业主诚心卖'],618,84277,"['海淀', '五棵松']",2室1厅1厨1卫,低楼层 (共12层),73.33㎡,平层,60.47㎡,塔楼,东北,钢混结构,精装,两梯九户,集中供暖,有,2023-08-12,商品房,2010-05-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    2008年商品房，满五唯一，楼龄新，有电梯，无遮挡，业主诚心卖
                  ","
                    永金里小区位于定慧桥西南角，小区共15栋楼，包含12栋1998年公房和3栋2007年左右的商品房，小区密度不算大，有2个集中的地上停车场，停车比较方便，停车费1800元/年。小区广场设有单独的儿童活动场，乒乓球场，以及运动器材场地，居住舒适。
                  ","
                    业主售房是为了换房，诚意出售，随时可以签约，房子无户口，无占用提前预约可看
                  ","
                    房子是正规两居，主卧室朝东，客厅朝东带阳台，次卧和厨房朝北，卫生间面积比较大，可做干湿分离，房子采光无遮挡。
                  ","
                    小区北侧的市政公园已经建设完成并且对外免费开放，小区旁边有五孔桥菜市场，规模大，菜品全；小区旁边有家乐福，永辉，华熙购物广场等；医疗资源丰富，301医院，航天医院，肿瘤医院。
                  ","
                    小区东侧到西四环300米左右，北侧到阜石路300米左右，开车出行便利；小区最近的公交站是定慧桥南站，是多条线路的起始站；小区距离地铁6号线五路居站，地铁1号线五棵松站公交2站地即到。
                  ",,
18,['农科院 中间层两居室央产房不临街诚心出售'],850,128788,"['海淀', '皂君庙']",2室1厅1厨1卫,中楼层 (共4层),66㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2023-08-13,已购公房,2001-09-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是满五唯一央产房，中间层，不临街，层高3米，诚心出售！
                  ","
                    农科院央产大院，小区有东西两个花园，花园有喷泉健身设施，东边花园有篮球场，还有小孩儿活动的游乐设施，院内环境很好，小区里面就有社区门诊，购物生活服务站等生活较方便，每户可以办两个车证，车位充足，停车方便。
                  ","
                    公园：紫竹院公园，北京市动物园，海洋馆！ 商场：双安商场，华宇 超市：超市发，物美，多点
                  ","
                    从小区的西门出去向左转就是地铁口4号线魏公村站，步行就能到达；小区南门就有多条公交路线通过。
                  ",,,,
19,['水科院 南北三居室 采光好无遮挡环境好'],830,121168,"['海淀', '甘家口']",3室1厅1厨1卫,中楼层 (共5层),68.5㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023-08-14,商品房,2017-04-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    水科院 南北三居室 采光好无遮挡环境好
                  ","
                    房子是正规的三居室，两间卧室朝南，一间卧室朝北，厨房朝北，卫生间在两个卧室中间。
                  ","
                    小区环境优质，水科院内部人员自己管理，楼层在2层，基本上有孩子老人都可以考虑这套房子。
                  ","
                    房子为公房性质，属于水科院单位的福利分房，房子满五年业主在北京还有别的住宅，个税按照网签的1%来征收。
                  ",,,,
20,['房子楼层高，视野好，西侧正对小区花园，全天都有阳光'],879,109139,"['海淀', '小西天']",2室1厅1厨1卫,高楼层 (共13层),80.54㎡,平层,暂无数据,板楼,西 东,钢混结构,简装,一梯两户,自供暖,有,2023-08-19,私产,2003-08-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房业主诚心出售，落地飘窗，全明格局，户型方正，
                  ","
                    远洋风景小区位于北二环西直门桥的东北角，属于人车分流的高品质社区，物业是远洋自持物业（远洋亿家），物业费3.2元平米，每栋楼每个单元进出刷卡，都有专人打扫卫生，24小时保安保护您和家人的安全，是个闹中取静的好地方。
                  ","
                    房子楼龄新2002年的楼龄，小区人车分流，干净整洁，房子户型方正没有浪费面积，进门右手边是卫生间带一个朝西的窗户，左边是厨房带一个东向的窗户，再往里中间是客厅，左右两边是两个卧室，全明格局的一套两居室。
                  ","
                    远洋风景小区出东门50米就是远洋风景公交站有公交专168路。出小区南门70米就是玉桃园公交站有公交27路;44路外环;80路;331路;347路;604路;618路;620路;特12路外环;夜20路外环，700米就是西直门地铁站，有地铁2.4.13号线，出行方便，交通便利。
                  ",,,,
21,['首创天阅西山中间楼层，不临街不把边，采光视野好'],1830,101324,"['海淀', '海淀北部新区']",4室2厅1厨2卫,中楼层 (共25层),180.61㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2023-07-14,商品房,2019-01-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透，开发商精装，拎包入住，满二年
                  ","
                    2018年的次新房小区，万科物业，地处中关村壹号北侧，小区主力户型面积为180平米，210平米，250平米三个户型，小区居住人群简单
                  ","
                    恒湿恒温恒氧，采用双重空气净化系统，置换式新风系统，辐射式冷暖系统等，还有吉博力同层排水系统，静音管道，五重过滤隔音地板，超厚墙体构建立体五重隔音系统，常年温度保持24-27℃，适合老人和孩子，社区为纯改善住宅小区
                  ","
                    入户带6㎡私家电梯厅，有整体的鞋柜，可以放30双鞋左右，客厅餐厅前后带落地窗，每个窗户的开创面都要大于一般小区，采光通透性好，屋内统一的精装修，卧室为木地板，客厅为天然大理石，厨卫用具都是博士品牌，装修保养的好，拎包即可入住
                  ",,,,
22,['金沟河5号院 两居室户型方正 诚心出售 满五唯一'],414,82635,"['海淀', '五棵松']",2室1厅1厨1卫,中楼层 (共6层),50.1㎡,平层,暂无数据,板楼,东 北,混合结构,简装,一梯三户,集中供暖,无,2023-08-17,央产房,2007-03-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一公房，不临街，两居室，户型方正，自住，看房相对方便
                  ","
                    小区叫金沟河5号院，是属于航天二院的单位分房，一共有27栋楼。活动空间充足，停车方便，先到先停一年400元。大部分都是六层板楼，物业管理较好，属于华润物业。居民素质高，邻里和谐，基本上都是航天的职工。
                  ","
                    此房是东北朝向的两居室，主卧室朝东带阳台，也有朝北的窗户，采光不错，次卧朝东。户型方正，公摊少。房子位置在近小区门口的位置，不临街，环境安静，离小区门口也近。
                  ","
                    小区门口即是永定路，永定路上商店河餐馆饭店很多，往西北还有大型的永辉商店，往东到五棵松地铁站是一号线，旁边有大型的购物广场华熙LIVE五棵松。五棵松地铁站南侧即是301总医院。小区旁边就是武警总医院。所以生活配套和医疗配套都很成熟，生活便利。
                  ","
                    出小区门口到永定路，有铁家坟北公交站，有公交车334路，4路，644路。小区门口到五棵松地铁站1号线A口大概是1500米。所以开车出行，南侧就是长安街。往东600米左右就能到西四环中路。
                  ",,,
23,['强佑清河新城府学上院 1室1厅 东'],510,84718,"['海淀', '清河']",1室1厅1厨1卫,低楼层 (共27层),60.2㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯六户,集中供暖,有,2023-08-19,商品房,2021-05-27,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,
24,['莱圳家园 3室1厅 南 北'],1268,112044,"['海淀', '清河']",3室1厅1厨2卫,中楼层 (共15层),113.17㎡,平层,95.48㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2023-08-18,商品房,2015-08-17,普通住宅,满五年,非共有,"
                                有抵押 260万元
                              ",已上传房本照片,,,,,,,,
25,['友谊社区 1990年 田字格 全明格局 把边户型 3层精装修'],885,108723,"['海淀', '苏州桥']",3室1厅1厨1卫,中楼层 (共6层),81.4㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023-08-16,商品房,2021-04-21,普通住宅,满两年,非共有,"
                                有抵押 60万元 客户偿还
                              ",已上传房本照片,"
                    1990年建成 精装修 拎包入住 田字格 全明格局 带东侧双窗
                  ","
                    地处西北三环边，人民大学的南侧，小区共有63栋楼，封闭式管理，典型的央产大院，建成年代1958-2000年均有，基本都是友谊宾馆和外专局的原住户，后期购入客户享受友谊宾馆职工待遇，没有物业费，楼间距比较大，采光效果好，车位充足（一年320元），绿树如茵。
                  ","
                    小区500米内是当代商城，华宇购物，双安商场，华星影城，以及旁边美食一条街。距海淀医院1200米，海淀妇幼1500米，中关村区域1500米.小区南侧400米是人民大学东门，疫情前对外开放，吃完饭溜溜弯，跑步，打球，游泳馆，健身房，校餐厅也对外
                  ","
                    满两年（原值243万），商品房性质，适合全款或者贷款相对较低的客户，室内2021年的精装修，完全可以拎包入住。
                  ","
                    小区距离4号线人民大学站400米，距离16号线苏州桥站700米。小区门口200米就是三义庙北公交站和400米四通桥西公交站，26路、651路。特8路、块300路、614路均在此停靠。出小区就有机场大巴专线。
                  ","
                    购房公积金抵押60万，需要客户的款项解抵押，产权清晰，随时可签约
                  ",,
26,['皂君西里 3室1厅 南 北'],730,106414,"['海淀', '皂君庙']",3室1厅1厨1卫,中楼层 (共6层),68.6㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-08-16,商品房,2009-11-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,
27,['永金里小区中间楼层，南北朝向两居室带18.8平大客厅'],578,86944,"['海淀', '五棵松']",2室1厅1厨1卫,中楼层 (共7层),66.48㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023-08-18,已购公房,2019-08-14,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    永金里小区中间楼层，南北朝向两居室带18.8平大客厅户型好
                  ","
                    永金里小区位于西四环中路和阜石路西南角300米，沿着永定河呈扇形分布，整个小区不临街安静，总共15栋住宅楼和一栋物业楼，保安24小时执勤，停车方便，管理完善配套齐全，有永辉、匠心工坊、服务驿站，小区有花园、乒乓球场、老年门球场、健身场所等
                  ","
                    小区共15栋住宅楼，大部分是单位公房，保安24小时执勤，管理完善，有乒乓球场、永辉、地上固定租赁车位1800元/年，地下固定租赁车位5000元/年，有蓝色港湾、华熙live购物商场、五棵松体育馆、301医院、家乐福等生活方便.
                  ","
                    永金里小区位于地铁1号线五棵松站北边1600米，离定慧桥南公交站台368米（此数据来自百度地图）有56路、481路、611路、982路等公交经过此地，开车出小区可直接上阜石路或者四环，交通便利。
                  ",,,,
